ead,recoveries,recovery_costs,collateral,product_type,seniority,time_to_recovery,lgd
38810.824403520186,4931.168692632513,1938.6450175445284,0,1,2,23.033079999120314,0.922894611977978
22224.48276772659,7977.86793406504,710.9799204318596,0,2,2,23.225277055128224,0.6730233009433257
43000.597035613435,4544.1487093307705,855.2925691190044,0,2,1,22.321953930058203,0.9142138390042206
35019.717438438514,7551.514020177316,1004.5530416271268,0,2,2,16.220945404750967,0.813049291729462
5161.778720438652,2734.0589661467093,362.241351177569,1,0,1,12.273710037354192,0.5405038178840063
48793.306406019416,13160.45639535217,2545.5071433576272,0,2,2,21.720101060710462,0.7824507082249088
38176.41524852247,19971.65535562843,1391.8818307903202,1,1,1,1.8936142998457608,0.5133180157464575
39410.18311120921,8571.42968421927,2573.225587770821,0,1,2,1.2609750998331062,0.8478006539700037
6841.6248174395205,3911.113270937408,99.28579804303068,1,2,2,30.8074639203862,0.4428476312852019
22794.103925830572,3689.760677797448,633.046428334459,0,1,2,2.6248415672167766,0.8658989070415232
18854.50219951277,12410.24572897354,492.2386516953528,1,1,2,19.36783026166963,0.36789595656436025
46374.86694800579,29151.547668607902,3662.4792020882473,1,1,1,22.524571703237577,0.45036891437128457
32371.323443992897,7748.6047789855975,1923.727426018593,0,1,2,7.935993036785247,0.8200605741978733
41226.69985690608,22606.45473239883,2195.1162748406628,1,2,2,32.35057933928019,0.5049000155626339
22449.00284195289,7758.045015074305,232.323553423915,0,1,2,7.653352011193125,0.6647636639082135
11748.316728346455,2604.600535080324,269.0564269362335,0,1,2,31.958024557833614,0.8012018094039917
27951.946957283824,15742.433815819884,1523.0426252971329,1,0,2,27.70465942665623,0.49129156504722804
3658.9541771566787,2241.339228953905,133.84583487597158,1,1,1,9.426003373346788,0.42401754926714147
41467.74301363281,18809.370221782636,3097.6249297424943,0,2,2,6.276045819663274,0.6211092249010323
31767.387756542208,2832.2930920837757,2018.204233306085,0,1,2,12.068144856518229,0.9743734403024675
38025.343134226,26328.09458325708,1571.088733023755,1,0,2,14.928269819459615,0.3489340579296458
18049.035422428486,6729.031651468295,1127.4519207703104,1,1,1,9.602463677462321,0.6896465877762515
48549.55220754771,30395.553069174948,3800.376542090302,1,2,2,35.961204206404815,0.45220552368040073
44709.49550544879,19627.91290856405,1889.8103627606813,0,0,2,9.037831768385336,0.6032587184160553
39029.983105151216,25706.716773568107,2145.7440494753346,1,0,1,30.072218944399992,0.3963365892161206
10134.616038672395,2741.1603685763935,753.0680803239943,0,1,1,6.569121148166547,0.8038315136295155
23602.689684488192,12574.240023173485,646.8842584753163,1,1,1,35.30856188465816,0.4946611625989013
2668.2864064678242,677.0127403796549,192.27419413543262,0,0,2,8.89332103990797,0.8183333898980129
8137.329857343618,4636.263721561232,136.9360404129096,1,2,1,15.759099417425729,0.4470756673225115
34310.9231855015,5341.620833935324,1900.5291078118353,0,2,2,20.549742336876726,0.8997085648928979
37365.72671743695,21119.666466876228,2421.2494267801576,1,1,2,5.2100000304632665,0.4995837447108893
48391.7317554934,30187.04000254141,2565.84746836743,1,1,1,29.588702361768547,0.42921669607249713
16628.35522783852,2626.1818526730203,743.0785648627967,0,0,1,10.613993643829044,0.8867534845143549
18837.75544872601,9480.028497938209,1002.4379131638807,1,2,1,20.224446556058233,0.5499681154769602
23743.012658152493,2060.1999057077405,489.49686159481433,0,2,2,20.23718337426364,0.933845672125622
9878.832274672142,6390.488204593177,247.85940509461267,1,1,1,22.092422831402477,0.3782029465924478
6931.114514105846,2186.342385634394,200.26037335809983,0,1,1,2.942009528351014,0.7134541626408967
24047.39384818372,6680.348055038018,1246.7264051725042,0,2,1,6.901656664104876,0.7740453005357205
11732.012778018763,4291.8103009438155,480.22736084600416,0,2,1,6.641728502317747,0.6751126160347151
33655.792736784264,8768.818782019258,912.5199072376321,0,0,2,11.571794079554815,0.7665691925243214
22139.01998418037,6576.2035532080245,1589.5075411016885,0,2,2,6.071995490041895,0.7747553407662299
41717.570704862956,26551.585537336,1509.113463785381,1,2,1,33.26724622710014,0.3997140377440181
35163.12254911133,20711.61357895274,1449.5019857761167,1,2,1,18.953405767895525,0.4522070226762773
15962.148748411033,8560.522411505552,617.4011543222534,1,1,1,22.825130169593955,0.5023776947339873
41696.86016906245,21503.00048390231,948.0200992350763,0,1,2,13.51208613893423,0.5070376929743434
40335.83569609169,7896.380468095871,2469.1134529260257,0,0,1,10.668614936186904,0.8654480086625373
19680.179761993637,3347.493773975802,814.6035428241054,0,1,2,18.611200958127455,0.8712974036932724
14772.241144547083,9632.700419261124,164.53318778087555,1,0,2,11.301304119219177,0.35905681887847746
34283.52744676128,21606.251399179288,2656.3205901410374,1,1,1,13.027607400541749,0.4472584293297852
7417.747938660836,603.9902318810484,497.75649877085624,0,0,1,16.84628059948,0.9856784385249183
10395.456022517861,7637.763904241251,630.4756213851725,1,1,1,18.700679051452443,0.3259277642387776
864.4323526747728,206.33710756312655,61.2333026493473,0,1,2,35.450990412364355,0.8321397799783969
39452.75668635585,4603.673868206646,2898.850782518124,0,0,1,8.816290585667918,0.956788239178275
33410.11740130559,13118.619369370801,1123.3911238555936,0,2,1,18.07916577089265,0.6409701857244458
35405.68624200359,11509.71831776726,1868.255651659592,0,1,1,6.232910882126863,0.7276860388976304
39146.087035587414,17547.427716118673,2059.731914453398,1,2,1,13.249973144779041,0.6043615856781412
23216.330889147826,18880.958317881363,666.5635379281296,1,0,1,26.10587515472415,0.21544903598581477
28652.68919966824,9428.330248879765,731.6939134482426,0,2,2,7.1061750316201096,0.6964809733973516
7419.951407319044,1845.909289932011,133.36255477206808,0,0,1,21.34729576425151,0.7691970417123372
6169.238640030685,4878.79590022785,346.4150493361048,1,1,1,15.584535824880252,0.26532573703953816
33585.94660862835,20793.587988686028,2171.812713775942,1,1,1,2.8052840541565547,0.44554859531259766
23819.26220408506,14211.28714692304,1506.9663201275202,1,1,2,33.65763345174556,0.46663667757867416
28479.187270818846,4863.219538608675,915.300471428171,0,1,1,15.476109910251022,0.8613752903255869
38367.44344209327,25699.35972388053,934.9451336768644,1,2,1,28.437428751290817,0.35454613681571484
31918.556840029243,9805.136678326156,1332.695264091584,0,0,1,15.570972105613011,0.7345606364129459
27902.18033257079,16790.461148803686,1347.031947639251,1,2,2,33.80761125525746,0.4465153254300704
28180.754456897972,4373.69923870733,2094.8473520134,0,0,2,11.166461705011411,0.9191344614219112
15545.529854099304,9569.697323684879,1107.4265608687172,1,0,2,15.428072739069389,0.45564603829925493
2025.4828111130007,489.4055538825179,150.13705639313974,0,0,2,27.560248409075022,0.8324999374825844
22117.510767001935,1990.2017794955723,1537.5732297315437,0,2,2,13.028356034829992,0.9795352852076228
11121.941304566695,4708.83551280835,862.1805007916902,1,0,1,13.752497496731278,0.6541381664694441
20722.16786436949,13838.64510079909,882.4535143977462,1,1,1,35.81881106949782,0.3747665943446617
42743.452126774224,0.0,569.4772028052829,0,1,1,20.44650839916232,1.0
12080.004550334366,7545.765942246052,191.46012650455995,1,2,2,25.128315878455183,0.3912000790150423
3385.985713608768,1837.3375397485192,126.36271796433297,1,1,2,23.521178195376343,0.49468929685452295
14428.502655088829,5872.250420677536,404.5477481939074,0,2,2,29.97734515048003,0.6210485035635206
15032.89100945084,2868.032295782017,329.15779725538675,0,2,2,31.163878480461005,0.8311120264937397
