credit_limit,drawn_balance,ead_at_default,ccf
77621.64880704037,11856.98944147782,53929.30360938405,0.6397404711555043
44448.96553545318,21758.7791904388,35430.055669144436,0.6025193566429027
86001.19407122687,18032.34754754682,50476.25668157733,0.4773349967433564
70039.43487687703,16072.488679364582,40632.04656774971,0.45508518859859415
10323.557440877305,6580.652492405061,7791.050878918748,0.32338475146362994
97586.61281203883,42351.4465219513,77577.02166730244,0.6377381930987813
76352.83049704494,67463.4203391789,73833.91905266812,0.7166390795740382
78820.36622241842,29264.66364142253,58536.778373198315,0.5906911456644617
13683.249634879041,9814.353343568519,12536.229882432986,0.7035279144022955
45588.207851661144,22426.412948022888,34302.728896253175,0.5127545597238993
37709.00439902554,24924.09097971517,33099.701982251034,0.6394733178393994
92749.73389601157,56553.320430570726,87321.055597129,0.850021651894719
64742.64688798579,32492.157621038255,47235.41461774174,0.45714832028341856
82453.39971381216,74830.74208085025,77382.2779587647,0.33473048387757665
44898.00568390578,17568.885786700033,38242.1153912071,0.7564542759615466
23496.63345669291,5889.4353127815775,18168.2861504561,0.6973767624646524
55903.89391456765,37812.273068452414,51335.03530296916,0.7474599622410533
7317.908354313357,5994.145766032639,7046.175657492579,0.7947270158362004
82935.48602726562,11131.242566109386,27969.87523547865,0.23450748671251465
63534.775513084416,30635.692685246137,49554.215742830595,0.575047126893645
76050.686268452,65298.22472068164,71010.02459157616,0.5312085837757708
36098.07084485697,26610.62519511198,31566.018890747677,0.522310628021241
97099.10441509543,91568.00531182502,95102.64915423644,0.6390490888730368
89418.99101089757,49332.612917028404,81159.14843967694,0.793948893265468
78059.96621030243,51597.35360330806,55418.12553273556,0.1443837759397056
20269.23207734479,7238.309772358867,15842.270186049884,0.6602725587887934
47205.379368976384,42739.99876756478,46035.941029354326,0.7381100416720638
5336.5728129356485,2195.386888641229,4261.400098364238,0.6577175816764432
16274.659714687235,11843.624934400852,14576.214607896205,0.6166933479404424
68621.846371003,30376.776017179563,62640.4794099709,0.84360423694621
74731.4534348739,43160.85877269604,61825.94205132412,0.5912173488765224
96783.4635109868,68891.93605808656,74713.58259495025,0.20872455073299798
33256.71045567704,17712.325412498038,22133.21504996201,0.28440428007821983
37675.51089745202,32816.25076499277,36042.365551889685,0.6639106981218961
47486.025316304986,21672.899260338432,36746.181997564134,0.5839386792806368
19757.664549344285,12842.69985293274,16087.156975969432,0.46919359179380504
13862.229028211692,5420.243394723188,11460.104365914947,0.7154550165582182
48094.78769636744,21495.15582924991,31007.28233807824,0.3576036900190044
23464.025556037526,11122.947493303533,16193.511065356623,0.4108687706436708
67311.58547356853,13929.187933713714,46836.856056969744,0.6164516702099688
44278.03996836074,7879.947015142896,28091.811863434123,0.5553001052629148
83435.14140972591,55681.81284919189,76693.3994642827,0.7570834816898273
70326.24509822266,46217.71047282644,53631.5499905624,0.30751929277054174
31924.297496822066,21180.917640162126,27796.887808720276,0.615818323174791
83393.7203381249,9740.509836551662,58101.98619856539,0.6566105677223768
80671.67139218339,30458.784787465247,58766.51388224082,0.5637542672584711
39360.359523987274,10554.022652079677,18020.857094631872,0.2592080511921658
29544.482289094165,22496.017012256667,26979.046212602494,0.636029124677375
68567.05489352257,57015.96366858065,63255.45654734173,0.5401647997799839
14835.495877321671,4594.2314491836305,8966.905264929694,0.42696620582631084
20790.912045035722,13881.50535731921,17506.540473323446,0.5246521560887121
1728.8647053495456,362.98963785642326,824.1994890518299,0.33766620547653353
78905.5133727117,26344.944932412353,65866.96575230455,0.751932903175944
66820.23480261119,14557.21057580275,41040.37820377349,0.5067285718683333
70811.37248400718,24146.157667418607,49891.136067178435,0.5516952723982317
78292.17407117483,52731.81994178267,62615.11130021818,0.3866648837650724
46432.66177829565,40571.8324768954,44164.06919003435,0.6129229377625286
57305.37839933648,15595.317577307864,28726.949495881163,0.31483128194428334
14839.902814638088,8321.730448507064,13508.423279276018,0.7957280874803878
12338.47728006137,8589.831170066052,10940.758325231176,0.6271403291168663
67171.8932172567,61125.35467454719,64965.266731556745,0.6350595518223311
47638.52440817012,29466.876464625588,37500.77155167501,0.4421115306662906
56958.37454163769,18046.74216094526,34774.70911833511,0.42989630436810194
76734.88688418653,48470.084964840964,62624.68815974173,0.5007855082548017
63837.113680058486,23774.057481275344,42018.431505933935,0.4553914692412491
55804.36066514158,51881.82372071181,53747.48137591657,0.47562526029336827
56361.508913795944,24783.548437837904,48625.98065796064,0.7550339496521705
31091.05970819861,21223.17903387976,24474.443463639618,0.3294795039649468
4050.9656222260014,485.07657916062095,3387.5334076499016,0.8139504043553225
44235.02153400387,19465.719835391672,30718.65210188905,0.4543096290489235
22243.88260913339,18770.310628852458,19798.80008860806,0.29608986530125647
